Number,Power,Answer,Binary recursive,time,delta,Binary iter. mlt.,time,delta,Iterative,time,delta,
2.0,10.0,1024.0,1024.0,5.183E-6,0.0,1024.0,1.266E-6,0.0,1024.0,8.73E-7,0.0,
1.23456789E8,0.0,1.0,1.0,8.7E-7,0.0,1.0,2.03E-7,0.0,1.0,1.64E-7,0.0,
1.001,1000.0,2.71692393224,2.71692393223,1.755E-6,1.000000082740371E-11,2.7169239322355203,7.36E-7,4.479527859757582E-12,2.7169239322355985,1.0974E-5,4.4013681588239706E-12,
1.0001,10000.0,2.71814592682,2.71814592682,1.562E-6,0.0,2.718145926824356,7.93E-7,4.356071059419264E-12,2.7181459268248984,1.10055E-4,4.898303984646191E-12,
1.00001,100000.0,2.71826823719,2.71826823719,2.148E-6,0.0,2.7182682371975284,9.16E-7,7.528200285378261E-12,2.718268237192295,7.33473E-4,2.2946089472952735E-12,
1.000001,1000000.0,2.7182804691,2.71828046915,1.949E-6,5.000000413701855E-11,2.7182804691564275,8.79E-7,5.6427307271178506E-11,2.7182804690959363,0.001866878,4.063860359337923E-12,
1.0000001,1.0E7,2.71828169413,2.71828169398,3.102E-6,1.5000001241105565E-10,2.7182816939803724,1.361E-6,1.4962742156399145E-10,2.7182816941320103,0.008734303,2.0103918529912335E-12,
1.00000001,1.0E8,2.71828179835,2.71828178639,4.058E-6,1.1960000101396417E-8,2.7182817863957975,1.661E-6,1.1954202516761825E-8,2.71828179834636,0.087258553,3.640199253140963E-12,
1.000000001,1.0E9,2.71828205201,2.71828203081,3.07E-6,2.1199999977739026E-8,2.7182820308145095,1.296E-6,2.1195490695902208E-8,2.7182820520118995,0.85922853,1.899369550528718E-12,
1.0000000001,1.0E10,2.71828205323,2.71828204347,3.816E-6,9.759999919367601E-9,2.718282043475248,1.788E-6,9.754751673085593E-9,2.7182820532331595,8.538363156,3.1596947280831955E-12,
