Position,Answer,Golden Section,Time,Delta,Matrix pwr.,Time,Delta,Matrix pwr. mlt.,Time,Delta,Iterations,Time,Delta
0.0,0.0,0.0,2.6336E-5,0.0,0.0,5.061E-6,0.0,0.0,1.339E-6,0.0,0.0,9.02E-7,0.0
1.0,1.0,1.0,1.096E-6,0.0,1.0,1.07309E-4,0.0,1.0,1.416E-6,0.0,1.0,3.18E-7,0.0
2.0,1.0,1.0,9.44E-7,0.0,1.0,3.253E-6,0.0,1.0,1.18E-6,0.0,1.0,2.87E-7,0.0
3.0,2.0,2.0,1.04E-6,0.0,2.0,3.921E-6,0.0,2.0,1.574E-6,0.0,2.0,3.15E-7,0.0
4.0,3.0,3.0000000000000004,1.046E-6,4.440892098500626E-16,3.0,3.58E-6,0.0,3.0,1.91E-6,0.0,3.0,3.08E-7,0.0
5.0,5.0,5.000000000000001,1.167E-6,8.881784197001252E-16,5.0,5.682E-6,0.0,5.0,3.539E-6,0.0,5.0,4.66E-7,0.0
10.0,55.0,55.000000000000014,1.231E-6,1.4210854715202004E-14,55.0,6.383E-6,0.0,55.0,6.656E-6,0.0,55.0,5.18E-7,0.0
100.0,3.542248481792619E20,3.542248481792631E20,1.294E-6,1179648.0,3.542248481792619E20,8.876E-6,0.0,3.54224848179262E20,6.2668E-5,0.0,3.54224848179262E20,1.995E-6,65536.0
1000.0,4.3466557686937455E208,4.3466557686938915E208,9.84E-7,1.4599809976391025E195,4.346655768693744E208,4.069E-6,-1.824976247048878E193,4.346655768693743E208,1.36827E-4,-1.824976247048878E193,4.346655768693743E208,1.1241E-5,-2.737464370573317E193
10000.0,Infinity,Infinity,1.253E-6,NaN,Infinity,2.2088E-5,NaN,NaN,0.001232723,NaN,Infinity,1.09528E-4,NaN
100000.0,Infinity,Infinity,1.826E-6,NaN,Infinity,7.667E-6,NaN,NaN,0.01023158,NaN,Infinity,9.69715E-4,NaN
1000000.0,Infinity,Infinity,2.43E-6,NaN,Infinity,8.157E-6,NaN,NaN,0.081278995,NaN,Infinity,0.001711556,NaN
1.0E7,Infinity,Infinity,1.587E-6,NaN,Infinity,4.965E-6,NaN,NaN,0.671005736,NaN,Infinity,0.008536251,NaN
