Title,Sample number,Pattern number,Position,Check OK,Compares amount,Repeats,Mean time (s/repeats)
Seminar implementation Iterative search algorithm straight,1,1.1,7,true,13,1e+05,6.23e-08
Seminar implementation Iterative search algorithm reverse,1,1.1,7,true,10,1e+05,5.08e-08
Iterative search prefix shift algorithm,1,1.1,7,true,14,1e+05,1.81e-07
Iterative search suffix shift algorithm,1,1.1,7,true,14,1e+05,1.81e-07
Boyer-Moore-Horspool algorithm; shift=1,1,1.1,7,true,7,1e+05,2.36e-07
Boyer-Moore-Horspool algorithm,1,1.1,7,true,7,1e+05,2.09e-07
Boyer-Moore algorithm,1,1.1,7,true,10,1e+05,2.84e-07
Seminar implementation Iterative search algorithm straight,2,2.1,16,true,34,1e+05,5.50e-08
Seminar implementation Iterative search algorithm reverse,2,2.1,16,true,30,1e+05,5.06e-08
Iterative search prefix shift algorithm,2,2.1,29,true,44,1e+05,5.50e-08
Iterative search suffix shift algorithm,2,2.1,16,true,31,1e+05,3.13e-08
Boyer-Moore-Horspool algorithm; shift=1,2,2.1,16,true,30,1e+05,7.97e-08
Boyer-Moore-Horspool algorithm,2,2.1,16,true,25,1e+05,9.21e-08
Boyer-Moore algorithm,2,2.1,16,true,22,1e+05,5.89e-07
Seminar implementation Iterative search algorithm straight,3,3.1,522,true,7,1e+05,8.85e-07
Seminar implementation Iterative search algorithm reverse,3,3.1,522,true,4,1e+05,1.03e-06
Iterative search prefix shift algorithm,3,3.1,522,true,526,1e+05,1.16e-06
Iterative search suffix shift algorithm,3,3.1,522,true,526,1e+05,1.24e-06
Boyer-Moore-Horspool algorithm; shift=1,3,3.1,522,true,4,1e+05,4.94e-07
Boyer-Moore-Horspool algorithm,3,3.1,522,true,4,1e+05,5.10e-07
Boyer-Moore algorithm,3,3.1,522,true,4,1e+05,1.05e-06
Seminar implementation Iterative search algorithm straight,3,3.2,1276,true,10,1e+05,1.98e-06
Seminar implementation Iterative search algorithm reverse,3,3.2,1276,true,85,1e+05,2.32e-06
Iterative search prefix shift algorithm,3,3.2,1276,true,1285,1e+05,2.76e-06
Iterative search suffix shift algorithm,3,3.2,1276,true,1285,1e+05,2.77e-06
Boyer-Moore-Horspool algorithm; shift=1,3,3.2,1276,true,23,1e+05,6.13e-07
Boyer-Moore-Horspool algorithm,3,3.2,1276,true,15,1e+05,6.28e-07
Boyer-Moore algorithm,3,3.2,1276,true,64,1e+05,1.86e-06
Seminar implementation Iterative search algorithm straight,3,3.3,25,true,11,1e+05,5.98e-08
Seminar implementation Iterative search algorithm reverse,3,3.3,25,true,15,1e+05,5.73e-08
Iterative search prefix shift algorithm,3,3.3,25,true,36,1e+05,7.15e-08
Iterative search suffix shift algorithm,3,3.3,25,true,36,1e+05,5.81e-08
Boyer-Moore-Horspool algorithm; shift=1,3,3.3,25,true,11,1e+05,4.57e-08
Boyer-Moore-Horspool algorithm,3,3.3,25,true,11,1e+05,4.55e-08
Boyer-Moore algorithm,3,3.3,25,true,13,1e+05,2.73e-07
